queue_order,phase,document_id,title,status,file_role,default_action,chunk_unit,pages,local_file_path,note
1,phase_1_core,kr-mfds-wellness-0091-03-20260212,의료기기와 개인용 건강관리제품(웰니스) 판단기준,active,PRIMARY_TEXT,primary_chunk,장/절/판단기준 단위,31,/Users/munchaerin/Desktop/졸프 data/의료기기와+개인용+건강관리(웰니스)제품+판단기준(지침).pdf,기존 핵심 판단가이드. section_id 정규화 후 사용
2,phase_1_core,kr-medical-device-act-rule-annex7-20260701,의료기기법 시행규칙 별표7 금지되는 광고의 범위,active,PRIMARY_TEXT,primary_chunk,별표 항목 단위,2,/Users/munchaerin/Desktop/졸프 data/[별표 7] 금지되는 광고의 범위(제45조제1항 관련)(의료기기법 시행규칙).pdf,별표7.제1호~별표7.제18호 항목 단위 chunk 필수
3,phase_1_core,kr-medical-device-act-20260701,의료기기법,active,PRIMARY_TEXT,primary_chunk,조문 단위,43,/Users/munchaerin/Desktop/졸프 data/의료기기법(법률)(제21263호)(20260701).pdf,"전체본문 재확보. 제2조, 제24조 우선 chunk"
4,phase_1_core,kr-medical-device-act-rule-20260701,의료기기법 시행규칙,active,PRIMARY_TEXT,primary_chunk,조문 단위,42,/Users/munchaerin/Desktop/졸프 data/의료기기법 시행규칙(총리령)(제02127호)(20260701).pdf,제45조 우선 chunk
5,phase_1_core,kr-pipa-active-20251002,개인정보 보호법,active,PRIMARY_TEXT,primary_chunk,조문 단위,,/Users/munchaerin/Downloads/개인정보 보호법(법률)(제20897호)(20251002).pdf,제23조 포함 개인정보 핵심 법령
6,phase_1_core,kr-pipa-decree-20260519,개인정보 보호법 시행령,active,PRIMARY_TEXT,primary_chunk,조문 단위,51,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법 시행령(대통령령)(제36340호)(20260519).pdf,제18조 포함 개인정보 핵심 시행령
7,phase_1_core,kr-pharmaceutical-affairs-act-20260621,약사법,active,PRIMARY_TEXT,primary_chunk,조문 단위,86,/Users/munchaerin/Desktop/졸프 data/약사법(법률)(제21109호)(20260621).pdf,"제2조, 제20조, 제23조, 제23조의2, 제24조 우선 chunk"
8,phase_1_core,kr-mohw-nonmedical-healthcare-guide-20190521,비의료 건강관리서비스 가이드라인 및 사례집(1차),active,PRIMARY_TEXT,primary_chunk,장/절/Q&A 단위,44,/Users/munchaerin/Desktop/졸프 data/(인쇄본)_비의료_건강관리서비스_가이드라인_및_사례집(1차)_.pdf,비의료 건강관리서비스 판단 기준 및 사례 chunk
9,phase_1_core,kr-mfds-wellness-0091-03-20260212,의료기기와 개인용 건강관리제품(웰니스) 판단기준,active,PRIMARY_TEXT,primary_chunk,장/절/판단기준 단위,31,/Users/munchaerin/Desktop/졸프 data/의료기기와+개인용+건강관리(웰니스)제품+판단기준(지침).pdf,장/절/판단기준 단위 chunk 가능
10,phase_1_core,kr-pipa-active-20251002,개인정보 보호법,active,PRIMARY_TEXT,primary_chunk,조문 단위,51,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf,조문 단위 chunk 가능
11,phase_1_core,kr-pipa-decree-20260519,개인정보 보호법 시행령,active,PRIMARY_TEXT,primary_chunk,조문 단위,51,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법 시행령(대통령령)(제36340호)(20260519).pdf,조문 단위 chunk 가능
12,phase_2_ad_privacy,kr-pipc-integrated-privacy-guide-202507,개인정보 처리 통합 안내서,active,PRIMARY_TEXT,primary_chunk,장/절 단위,205,/Users/munchaerin/Desktop/졸프 data/★개인정보 처리 통합 안내서(2025.7.).pdf,장/절 단위 chunk 가능
13,phase_2_ad_privacy,kr-food-labeling-ad-act-active-20250919,식품 등의 표시·광고에 관한 법률,active,PRIMARY_TEXT,primary_chunk,조문 단위,11,/Users/munchaerin/Desktop/졸프 data/식품 등의 표시ㆍ광고에 관한 법률(법률)(제20826호)(20250919).pdf,조문 단위 chunk 가능
14,phase_2_ad_privacy,kr-food-labeling-ad-rule-20260101,식품 등의 표시·광고에 관한 법률 시행규칙,active,PRIMARY_TEXT,primary_chunk,조문/별표 단위,7,/Users/munchaerin/Desktop/졸프 data/식품 등의 표시ㆍ광고에 관한 법률 시행규칙(총리령)(제02004호)(20260101).pdf,조문/별표 단위 chunk 가능
15,phase_2_ad_privacy,kr-health-functional-food-act-active-20250103,건강기능식품에 관한 법률,active,PRIMARY_TEXT,primary_chunk,조문 단위,23,/Users/munchaerin/Desktop/졸프 data/건강기능식품에 관한 법률(법률)(제20138호)(20250103).pdf,조문 단위 chunk 가능
16,phase_2_ad_privacy,kr-health-functional-food-functional-ingredients-rule-20260413,건강기능식품 기능성 원료 및 기준·규격 인정에 관한 규정,active,PRIMARY_TEXT,primary_chunk,조문/항목 단위,14,/Users/munchaerin/Desktop/졸프 data/건강기능식품 기능성 원료 및 기준·규격 인정에 관한 규정(식품의약품안전처고시)(제2026-33호)(20260413).pdf,조문/항목 단위 chunk 가능
17,phase_3_case_samples,kr-kca-damage-casebook-list,한국소비자원 피해구제사례집,active,CASEBOOK_SOURCE,case_item_chunk,사례 1건 단위,25,/Users/munchaerin/Desktop/졸프 data/'23년 우수 소비자분쟁 해결사례 23선.pdf,우수사례집. 사례 1건 단위 chunk
18,phase_3_case_samples,kr-kca-damage-casebook-list,한국소비자원 피해구제사례집,active,CASEBOOK_SOURCE,case_item_chunk,사례 1건 단위,26,/Users/munchaerin/Desktop/졸프 data/'24년 우수 소비자분쟁 해결 사례 24선.pdf,우수사례집. 사례 1건 단위 chunk
19,phase_3_case_samples,kr-kca-damage-casebook-list,한국소비자원 피해구제사례집,active,CASEBOOK_SOURCE,case_item_chunk,사례 1건 단위,27,/Users/munchaerin/Desktop/졸프 data/2025년 소비자 분쟁해결 우수사례집.pdf,우수사례집. 사례 1건 단위 chunk
20,phase_4_expand,kr-pipc-security-safeguards-guide-202511,개인정보 안전성 확보조치 기준 안내서,active,PRIMARY_TEXT,primary_chunk,장/절 단위,196,/Users/munchaerin/Desktop/졸프 data/개인정보의 안전성 확보조치 기준 안내서(2025.11).pdf,장/절 단위 chunk 가능
21,phase_4_expand,kr-pipc-privacy-policy-guide-20260423,개인정보 처리방침 작성지침,active,PRIMARY_TEXT,primary_chunk,장/절 단위,185,/Users/munchaerin/Desktop/졸프 data/2026 개인정보 처리방침 작성지침.pdf,장/절 단위 chunk 가능
22,phase_4_expand,kr-pipc-health-data-guide-20260615,보건의료데이터 활용 가이드라인,active,PRIMARY_TEXT,primary_chunk,장/절 단위,175,/Users/munchaerin/Desktop/졸프 data/보건의료데이터 활용 가이드라인(2025.12.).pdf,장/절 단위 chunk 가능
23,phase_4_expand,kr-pipc-pseudonymized-data-guide-20260331,가명정보 처리 가이드라인,active,PRIMARY_TEXT,primary_chunk,장/절 단위,334,/Users/munchaerin/Desktop/졸프 data/가명정보 처리 가이드라인(2026.03.).pdf,장/절 단위 chunk 가능
24,phase_4_expand,kr-mfds-mobile-medical-app-guide-20200225,모바일 의료용 앱 안전관리 지침,active,PRIMARY_TEXT,primary_chunk,장/절 단위,65,/Users/munchaerin/Desktop/졸프 data/모바일+의료용+앱+안전관리+지침(개정).pdf,장/절 단위 chunk 가능
25,phase_4_expand,kr-pipc-data-portability-guide-20260625,개인정보 전송요구권 제도 안내서,active,PRIMARY_TEXT,primary_chunk,장/절 단위,209,/Users/munchaerin/Desktop/졸프 data/(전 분야 마이데이터) 개인정보 전송요구권 제도 안내서 (2026.6.).pdf,장/절 단위 chunk 가능
26,phase_4_expand,kr-kca-consumer-damage-annual-casebook,한국소비자원 소비자 피해구제 연보 및 사례집,active,REPORT_SOURCE,selective_chunk,관련 섹션 단위,175,/Users/munchaerin/Desktop/졸프 data/2023년 소비자 피해구제 연보.pdf,연보는 통계/트렌드 섹션만 선별 chunk 권장
27,phase_4_expand,kr-kca-consumer-damage-annual-casebook,한국소비자원 소비자 피해구제 연보 및 사례집,active,REPORT_SOURCE,selective_chunk,관련 섹션 단위,177,/Users/munchaerin/Desktop/졸프 data/2024년 소비자 피해구제 연보.pdf,연보는 통계/트렌드 섹션만 선별 chunk 권장
28,phase_4_expand,kr-kca-consumer-damage-annual-casebook,한국소비자원 소비자 피해구제 연보 및 사례집,active,REPORT_SOURCE,selective_chunk,관련 섹션 단위,181,/Users/munchaerin/Desktop/졸프 data/2025년 소비자 피해구제 연보.pdf,연보는 통계/트렌드 섹션만 선별 chunk 권장
29,phase_4_expand,kr-medical-device-act-decree-20260701,의료기기법 시행령,active,PRIMARY_TEXT,primary_chunk,조문 단위,,/Users/munchaerin/Desktop/졸프 data/의료기기법 시행령.txt,조문 단위 chunk 가능
30,phase_4_expand,kr-medical-act-20260407,의료법,active,PRIMARY_TEXT,primary_chunk,조문 단위,40,/Users/munchaerin/Desktop/졸프 data/의료법(법률)(제21524호)(20260407).pdf,"전체본문 확보. 제2조, 제27조, 제56조 우선 chunk 가능"
31,phase_4_expand,kr-pipa-future-20260911,개인정보 보호법,future,SUPPORTING_REVISION_TEXT,selective_chunk,개정 항목 단위,,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법_개정문개정이유.txt,future 본문 PDF는 없음. 개정문/개정이유만 보조로 연결
32,phase_4_expand,kr-pipc-privacy-faq-202512,개인정보 질의응답 모음집,active,PRIMARY_TEXT,primary_chunk,질문 1개 단위,130,/Users/munchaerin/Desktop/졸프 data/개인정보 질의응답 모음집(2025.12.).pdf,질문 1개 단위 chunk 가능
33,phase_4_expand,kr-mfds-llm-digital-medical-device-1511-01-20260630,LLM 기반 디지털의료기기 허가·심사 가이드라인,active,PRIMARY_TEXT,primary_chunk,장/절 단위,40,/Users/munchaerin/Desktop/졸프 data/거대언어모델(LLM)+기반+디지털의료기기+허가·심사+가이드라인.pdf,장/절 단위 chunk 가능
34,phase_4_expand,kr-health-functional-food-act-future-20261008,건강기능식품에 관한 법률,future,PRIMARY_TEXT_FUTURE,future_chunk_optional,조문 단위,22,/Users/munchaerin/Desktop/졸프 data/건강기능식품에 관한 법률(법률)(제21525호)(20261008).pdf,future 본문. 현행 판정에는 사용하지 않음
