chunk_id,document_id,chunk_order,section_id,section_title,chunk_type,chunk_text,page_start,page_end,char_count,tag_regulatory,tag_privacy,tag_advertising,case_tag_advertising,case_tag_privacy,case_tag_medical_device,case_tag_health_functional_food,effective_date,status,source_url,local_file_path
kr-pipa-active-20251002__0001,kr-pipa-active-20251002,1,제1조,제1조(목적),ARTICLE,"제1조(목적) 이 법은 개인정보의 처리 및 보호에 관한 사항을 정함으로써 개인의 자유와 권리를 보호하고, 나아가 개인
의 존엄과 가치를 구현함을 목적으로 한다. <개정 2014. 3. 24.>",1,1,107,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0002,kr-pipa-active-20251002,2,제2조,제2조(정의),ARTICLE,"제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2014. 3. 24., 2020. 2. 4., 2023. 3. 14.>
1. “개인정보”란 살아 있는 개인에 관한 정보로서 다음 각 목의 어느 하나에 해당하는 정보를 말한다.
가. 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아볼 수 있는 정보
나. 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 정보. 이 경우
쉽게 결합할 수 있는지 여부는 다른 정보의 입수 가능성 등 개인을 알아보는 데 소요되는 시간, 비용, 기술 등
을 합리적으로 고려하여야 한다.
다. 가목 또는 나목을 제1호의2에 따라 가명처리함으로써 원래의 상태로 복원하기 위한 추가 정보의 사용ㆍ결합
없이는 특정 개인을 알아볼 수 없는 정보(이하 “가명정보”라 한다)
1의2. “가명처리”란 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 추가 정보가 없이는
특정 개인을 알아볼 수 없도록 처리하는 것을 말한다.
2. “처리”란 개인정보의 수집, 생성, 연계, 연동, 기록, 저장, 보유, 가공, 편집, 검색, 출력, 정정(訂正), 복구, 이용, 제공,
공개, 파기(破棄), 그 밖에 이와 유사한 행위를 말한다.
3. “정보주체”란 처리되는 정보에 의하여 알아볼 수 있는 사람으로서 그 정보의 주체가 되는 사람을 말한다.
4. “개인정보파일”이란 개인정보를 쉽게 검색할 수 있도록 일정한 규칙에 따라 체계적으로 배열하거나 구성한 개인
정보의 집합물(集合物)을 말한다.
5. “개인정보처리자”란 업무를 목적으로 개인정보파일을 운용하기 위하여 스스로 또는 다른 사람을 통하여 개인정
보를 처리하는 공공기관, 법인, 단체 및 개인 등을 말한다.
6. “공공기관”이란 다음 각 목의 기관을 말한다.
가. 국회, 법원, 헌법재판소, 중앙선거관리위원회의 행정사무를 처리하는 기관, 중앙행정기관(대통령 소속 기관과
국무총리 소속 기관을 포함한다) 및 그 소속 기관, 지방자치단체
나. 그 밖의 국가기관 및 공공단체 중 대통령령으로 정하는 기관
7. “고정형 영상정보처리기기”란 일정한 공간에 설치되어 지속적 또는 주기적으로 사람 또는 사물의 영상 등을 촬영
하거나 이를 유ㆍ무선망을 통하여 전송하는 장치로서 대통령령으로 정하는 장치를 말한다.
7의2. “이동형 영상정보처리기기”란 사람이 신체에 착용 또는 휴대하거나 이동 가능한 물체에 부착 또는 거치(据置
)하여 사람 또는 사물의 영상 등을 촬영하거나 이를 유ㆍ무선망을 통하여 전송하는 장치로서 대통령령으로 정하
는 장치를 말한다.
8. “과학적 연구”란 기술의 개발과 실증, 기초연구, 응용연구 및 민간 투자 연구 등 과학적 방법을 적용하는 연구를
말한다.

개인정보 보호법",1,2,1356,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0003,kr-pipa-active-20251002,3,제3조,제3조(개인정보 보호 원칙),ARTICLE,"제3조(개인정보 보호 원칙) ① 개인정보처리자는 개인정보의 처리 목적을 명확하게 하여야 하고 그 목적에 필요한 범위
에서 최소한의 개인정보만을 적법하고 정당하게 수집하여야 한다.
② 개인정보처리자는 개인정보의 처리 목적에 필요한 범위에서 적합하게 개인정보를 처리하여야 하며, 그 목적 외
의 용도로 활용하여서는 아니 된다.
③ 개인정보처리자는 개인정보의 처리 목적에 필요한 범위에서 개인정보의 정확성, 완전성 및 최신성이 보장되도록
하여야 한다.
④ 개인정보처리자는 개인정보의 처리 방법 및 종류 등에 따라 정보주체의 권리가 침해받을 가능성과 그 위험 정도
를 고려하여 개인정보를 안전하게 관리하여야 한다.
⑤ 개인정보처리자는 제30조에 따른 개인정보 처리방침 등 개인정보의 처리에 관한 사항을 공개하여야 하며, 열람
청구권 등 정보주체의 권리를 보장하여야 한다.<개정 2023. 3. 14.>
⑥ 개인정보처리자는 정보주체의 사생활 침해를 최소화하는 방법으로 개인정보를 처리하여야 한다.
⑦ 개인정보처리자는 개인정보를 익명 또는 가명으로 처리하여도 개인정보 수집목적을 달성할 수 있는 경우 익명
처리가 가능한 경우에는 익명에 의하여, 익명처리로 목적을 달성할 수 없는 경우에는 가명에 의하여 처리될 수 있도
록 하여야 한다.<개정 2020. 2. 4.>
⑧ 개인정보처리자는 이 법 및 관계 법령에서 규정하고 있는 책임과 의무를 준수하고 실천함으로써 정보주체의 신
뢰를 얻기 위하여 노력하여야 한다.",2,2,726,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0004,kr-pipa-active-20251002,4,제4조,제4조(정보주체의 권리),ARTICLE,"제4조(정보주체의 권리) 정보주체는 자신의 개인정보 처리와 관련하여 다음 각 호의 권리를 가진다. <개정 2023. 3.
14.>
1. 개인정보의 처리에 관한 정보를 제공받을 권리
2. 개인정보의 처리에 관한 동의 여부, 동의 범위 등을 선택하고 결정할 권리
3. 개인정보의 처리 여부를 확인하고 개인정보에 대한 열람(사본의 발급을 포함한다. 이하 같다) 및 전송을 요구할
권리
4. 개인정보의 처리 정지, 정정ㆍ삭제 및 파기를 요구할 권리
5. 개인정보의 처리로 인하여 발생한 피해를 신속하고 공정한 절차에 따라 구제받을 권리
6. 완전히 자동화된 개인정보 처리에 따른 결정을 거부하거나 그에 대한 설명 등을 요구할 권리",2,2,348,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0005,kr-pipa-active-20251002,5,제5조,제5조(국가 등의 책무),ARTICLE,"제5조(국가 등의 책무) ① 국가와 지방자치단체는 개인정보의 목적 외 수집, 오용ㆍ남용 및 무분별한 감시ㆍ추적 등에
따른 폐해를 방지하여 인간의 존엄과 개인의 사생활 보호를 도모하기 위한 시책을 강구하여야 한다.
② 국가와 지방자치단체는 제4조에 따른 정보주체의 권리를 보호하기 위하여 법령의 개선 등 필요한 시책을 마련하
여야 한다.
③ 국가와 지방자치단체는 만 14세 미만 아동이 개인정보 처리가 미치는 영향과 정보주체의 권리 등을 명확하게 알
수 있도록 만 14세 미만 아동의 개인정보 보호에 필요한 시책을 마련하여야 한다.<신설 2023. 3. 14.>
④ 국가와 지방자치단체는 개인정보의 처리에 관한 불합리한 사회적 관행을 개선하기 위하여 개인정보처리자의 자
율적인 개인정보 보호활동을 존중하고 촉진ㆍ지원하여야 한다.<개정 2023. 3. 14.>
⑤ 국가와 지방자치단체는 개인정보의 처리에 관한 법령 또는 조례를 적용할 때에는 정보주체의 권리가 보장될 수
있도록 개인정보 보호 원칙에 맞게 적용하여야 한다.<개정 2023. 3. 14.>",2,2,530,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0006,kr-pipa-active-20251002,6,제6조,제6조(다른 법률과의 관계),ARTICLE,"제6조(다른 법률과의 관계) ① 개인정보의 처리 및 보호에 관하여 다른 법률에 특별한 규정이 있는 경우를 제외하고는
이 법에서 정하는 바에 따른다. <개정 2014. 3. 24., 2023. 3. 14.>
② 개인정보의 처리 및 보호에 관한 다른 법률을 제정하거나 개정하는 경우에는 이 법의 목적과 원칙에 맞도록 하
여야 한다.<신설 2023. 3. 14.>
제2장 개인정보 보호정책의 수립 등

개인정보 보호법",2,3,230,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0007,kr-pipa-active-20251002,7,제7조,제7조(개인정보 보호위원회),ARTICLE,"제7조(개인정보 보호위원회) ① 개인정보 보호에 관한 사무를 독립적으로 수행하기 위하여 국무총리 소속으로 개인정
보 보호위원회(이하 “보호위원회”라 한다)를 둔다. <개정 2020. 2. 4.>
② 보호위원회는 「정부조직법」 제2조에 따른 중앙행정기관으로 본다. 다만, 다음 각 호의 사항에 대하여는 「정부조
직법」 제18조를 적용하지 아니한다.<개정 2020. 2. 4.>
1. 제7조의8제3호 및 제4호의 사무
2. 제7조의9제1항의 심의ㆍ의결 사항 중 제1호에 해당하는 사항
③ 삭제<2020. 2. 4.>
④ 삭제<2020. 2. 4.>
⑤ 삭제<2020. 2. 4.>
⑥ 삭제<2020. 2. 4.>
⑦ 삭제<2020. 2. 4.>
⑧ 삭제<2020. 2. 4.>
⑨ 삭제<2020. 2. 4.>",3,3,394,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0008,kr-pipa-active-20251002,8,제7조의2,제7조의2(보호위원회의 구성 등),ARTICLE,"제7조의2(보호위원회의 구성 등) ① 보호위원회는 상임위원 2명(위원장 1명, 부위원장 1명)을 포함한 9명의 위원으로
구성한다.
② 보호위원회의 위원은 개인정보 보호에 관한 경력과 전문지식이 풍부한 다음 각 호의 사람 중에서 위원장과 부위
원장은 국무총리의 제청으로, 그 외 위원 중 2명은 위원장의 제청으로, 2명은 대통령이 소속되거나 소속되었던 정당
의 교섭단체 추천으로, 3명은 그 외의 교섭단체 추천으로 대통령이 임명 또는 위촉한다.
1. 개인정보 보호 업무를 담당하는 3급 이상 공무원(고위공무원단에 속하는 공무원을 포함한다)의 직에 있거나 있었
던 사람
2. 판사ㆍ검사ㆍ변호사의 직에 10년 이상 있거나 있었던 사람
3. 공공기관 또는 단체(개인정보처리자로 구성된 단체를 포함한다)에 3년 이상 임원으로 재직하였거나 이들 기관 또
는 단체로부터 추천받은 사람으로서 개인정보 보호 업무를 3년 이상 담당하였던 사람
4. 개인정보 관련 분야에 전문지식이 있고 「고등교육법」 제2조제1호에 따른 학교에서 부교수 이상으로 5년 이상 재
직하고 있거나 재직하였던 사람
③ 위원장과 부위원장은 정무직 공무원으로 임명한다.
④ 위원장, 부위원장, 제7조의13에 따른 사무처의 장은 「정부조직법」 제10조에도 불구하고 정부위원이 된다.
[본조신설 2020. 2. 4.]",3,3,653,true,true,false,true,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0009,kr-pipa-active-20251002,9,제7조의3,제7조의3(위원장),ARTICLE,"제7조의3(위원장) ① 위원장은 보호위원회를 대표하고, 보호위원회의 회의를 주재하며, 소관 사무를 총괄한다.
② 위원장이 부득이한 사유로 직무를 수행할 수 없을 때에는 부위원장이 그 직무를 대행하고, 위원장ㆍ부위원장이
모두 부득이한 사유로 직무를 수행할 수 없을 때에는 위원회가 미리 정하는 위원이 위원장의 직무를 대행한다.
③ 위원장은 국회에 출석하여 보호위원회의 소관 사무에 관하여 의견을 진술할 수 있으며, 국회에서 요구하면 출석
하여 보고하거나 답변하여야 한다.
④ 위원장은 국무회의에 출석하여 발언할 수 있으며, 그 소관 사무에 관하여 국무총리에게 의안 제출을 건의할 수
있다.
[본조신설 2020. 2. 4.]",3,3,347,true,true,false,false,false,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
kr-pipa-active-20251002__0010,kr-pipa-active-20251002,10,제7조의4,제7조의4(위원의 임기),ARTICLE,"제7조의4(위원의 임기) ① 위원의 임기는 3년으로 하되, 한 차례만 연임할 수 있다.
② 위원이 궐위된 때에는 지체 없이 새로운 위원을 임명 또는 위촉하여야 한다. 이 경우 후임으로 임명 또는 위촉된
위원의 임기는 새로이 개시된다.
[본조신설 2020. 2. 4.]

개인정보 보호법",3,4,159,true,true,false,false,true,false,false,2025-10-02,active,https://www.law.go.kr/법령/개인정보보호법,/Users/munchaerin/Desktop/졸프 data/개인정보 보호법(법률)(제20897호)(20251002).pdf
