document_id,law_id,title,doc_type,source_subtype,issuing_org,jurisdiction,rag_category,effective_date,publication_date,status,tag_regulatory,tag_privacy,tag_advertising,usage_scope,source_url,collection_source,processing_note
kr-medical-act-20260407,MEDICAL_ACT,의료법,LAW,ACT,보건복지부 / 국가법령정보센터,KR,의료규제,2026-04-07,,active,true,false,false,BOTH,https://www.law.go.kr/LSW/lsLawLinkInfo.do?chrClsCd=010202&lsId=001788&lsJoLnkSeq=1000180469&print=print,원래 수집,"의료법 2026-04-07 시행 전체본문 확보. 제2조, 제27조, 제56조 우선 chunk 가능."
kr-medical-act-decree-20260210,MEDICAL_ACT_DECREE,의료법 시행령,LAW,DECREE,보건복지부 / 국가법령정보센터,KR,의료규제,2026-02-10,,active,true,false,false,BOTH,https://law.go.kr/lsInfoP.do?ancYnChk=0&chrClsCd=010202&efYd=20260210&lsId=&lsiSeq=283151&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR,원래 수집 + 보완 확인,의료법 적용 세부 기준 및 위임 조항 확인
kr-medical-device-act-20260701,MEDICAL_DEVICE_ACT,의료기기법,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,의료기기,2026-07-01,,active,true,false,true,BOTH,https://www.law.go.kr/lsLawLinkInfo.do?chrClsCd=010202&lsJoLnkSeq=900516573,원래 수집 + 보완 확인,2026-07-01 시행 전체본문 재확보. 제2조 및 제24조 chunk 필수.
kr-medical-device-act-decree-20260701,MEDICAL_DEVICE_ACT_DECREE,의료기기법 시행령,LAW,DECREE,식품의약품안전처 / 국가법령정보센터,KR,의료기기,2026-07-01,,active,true,false,true,BOTH,https://law.go.kr/LSW/lsRvsRsnListP.do?chrClsCd=010202&lsId=009705&lsRvsGubun=all,보완 수집,의료기기법 세부 적용 기준
kr-medical-device-act-rule-annex7-20260701,MEDICAL_DEVICE_ACT_RULE,의료기기법 시행규칙 별표7 금지되는 광고의 범위,LAW,ANNEX,식품의약품안전처 / 국가법령정보센터,KR,의료기기 / 광고,2026-07-01,,active,true,false,true,BOTH,"https://www.law.go.kr/법령별표서식/(의료기기법%20시행규칙,20260701,별표7)",보완 수집,advertising_score 법령 기준 핵심 문서. 별표7 제1호~제18호 항목 단위 chunk.
kr-mfds-wellness-0091-03-20260212,MFDS_GUIDE_0091_03,의료기기와 개인용 건강관리제품(웰니스) 판단기준,GUIDE,OFFICIAL_GUIDE,식품의약품안전처,KR,의료기기 판정 / 웰니스,,2026-02-12,active,true,false,true,BOTH,https://www.mfds.go.kr/brd/m_210/view.do?Data_stts_gubun=C1004&company_cd=&company_nm=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&page=4&seq=15229&srchFr=&srchTo=&srchTp=0&srchWord=,보완 수집,지침서-0091-03. 웰니스/의료기기 경계 판단 및 gate_matrix 핵심 근거
kr-digital-medical-products-rule-20260124,DIGITAL_MEDICAL_PRODUCTS_RULE,디지털의료제품법 시행규칙,LAW,RULE,식품의약품안전처 / 국가법령정보센터,KR,디지털헬스 / 의료기기,2026-01-24,,active,true,false,false,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?ancYnChk=&chrClsCd=010202&efYd=20260124&lsiSeq=283055&urlMode=lsInfoP,원래 수집,디지털의료제품·디지털의료기기 세부 기준
kr-mfds-dtx-guideline-20200827,MFDS_DTX_GUIDE,디지털치료기기 허가·심사 가이드라인,GUIDE,GUIDELINE,식품의약품안전처,KR,디지털치료기기,,2020-08-27,active,true,false,false,BOTH,https://www.mfds.go.kr/brd/m_1060/view.do?company_cd=&company_nm=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&page=1&seq=14596&srchFr=&srchTo=&srchTp=0&srchWord=,원래 수집,"디지털치료기기 해당 가능성, 임상·허가 검토 근거"
kr-mfds-mobile-medical-app-guide-20200225,MFDS_MOBILE_MEDICAL_APP_GUIDE,모바일 의료용 앱 안전관리 지침,GUIDE,OFFICIAL_GUIDE,식품의약품안전처,KR,모바일 의료앱 / 기능유형,,2020-02-25,active,true,false,false,BOTH,https://www.mfds.go.kr/brd/m_210/view.do?company_cd=&company_nm=&itm_seq_1=0&itm_seq_2=0&page=1&seq=14461&srchTp=0,보완 수집,MFDS 공식 페이지 등록일은 2020-02-25로 확인. 원 설계서의 2020-02-21은 PDF 내부 발행일 또는 내부 기준일 가능성. MFDS-G-2026-03 식별자 일치 여부는 팀원 확인 필요
kr-mfds-llm-digital-medical-device-1511-01-20260630,MFDS_LLM_DMD_GUIDE_1511_01,LLM 기반 디지털의료기기 허가·심사 가이드라인,GUIDE,GUIDELINE,식품의약품안전처,KR,AI / 디지털의료기기,,2026-06-30,active,true,false,false,BOTH,https://www.mfds.go.kr/brd/m_1060/view.do?Data_stts_gubun=C1004&company_cd=&company_nm=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&page=3&seq=15879&srchFr=&srchTo=&srchTp=0&srchWord=,보완 수집,2차 구축용. 안내서-1511-01
