rule_id,rule_version_id,risky_text,safe_text,regulatory_score,advertising_score,derived_from_keyword_id,legal_basis_doc,legal_basis_article,created_at
fd77edd3-aee5-48e0-8969-285d369bb47a,ee8da273-7f54-437c-a5cd-b829b327fcfa,투약,복용 기록,3,0,92dab2d4-0232-4ade-9c97-f3618100ef75,kr-pharmaceutical-affairs-act-20260621,제44조,2026-08-14 04:04:59.997176+00:00
5aaab808-5146-448e-b8d4-48d0770b20ee,ee8da273-7f54-437c-a5cd-b829b327fcfa,정신질환자에 대하여 조제하는 경우,정신건강 상태 확인,3,0,7b550d1d-41ca-4069-90b8-2b2911d9deaf,kr-pharmaceutical-affairs-act-20260621,제23조,2026-08-14 04:04:59.997176+00:00
9a102fe6-ba0f-4742-a229-322404509e4b,ee8da273-7f54-437c-a5cd-b829b327fcfa,질병 진단,건강 상태 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-pharmaceutical-affairs-act-20260621,제2조,2026-08-14 04:04:59.997176+00:00
70957bb6-356b-4449-bfbd-55348d7de651,ee8da273-7f54-437c-a5cd-b829b327fcfa,정신적 안정 측정,정신적 안정 변화 추이 확인 (수치·알람 기능 없이),1,0,5662d750-d9bd-4eef-b846-b73f557d9d0b,kr-mfds-wellness-0091-03-20260212,IV.3,2026-08-14 04:04:59.997176+00:00
38ee8f32-c805-4fe1-822e-bc581d03e7ee,ee8da273-7f54-437c-a5cd-b829b327fcfa,체온 측정,체온 변화 추이 확인 (수치·알람 기능 없이),2,0,62cf44f6-51d3-4ebd-96f9-cf69e0974626,kr-mfds-wellness-0091-03-20260212,IV.3,2026-08-14 04:04:59.997176+00:00
e6c7e8fe-a1e6-46d7-8e81-7a034484744f,ee8da273-7f54-437c-a5cd-b829b327fcfa,저혈압 치료,저혈압 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
a77d2d59-68a2-41e2-87d2-aabebcdda3fb,ee8da273-7f54-437c-a5cd-b829b327fcfa,고혈압 처방,고혈압 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
1eb70047-be3f-4243-bcdf-8a80b44750eb,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨 처방,당뇨 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
749e5174-bd7b-4fb9-ba18-46abfde5c491,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨병 처방,당뇨병 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
84b50034-a1c6-4410-8077-24a28efdc2f1,ee8da273-7f54-437c-a5cd-b829b327fcfa,질병 예방,건강 유지,2,0,24204f66-01bd-4fc2-85da-4a010495fb14,kr-pharmaceutical-affairs-act-20260621,제2조,2026-08-14 04:04:59.997176+00:00
6e1c96e8-ca60-43d8-bce1-136b50f20432,ee8da273-7f54-437c-a5cd-b829b327fcfa,질병 치료,건강 증진,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-pharmaceutical-affairs-act-20260621,제2조,2026-08-14 04:04:59.997176+00:00
175d1bf5-e157-436e-9300-e6729e55131a,ee8da273-7f54-437c-a5cd-b829b327fcfa,발병 위험도,발병 통계지수,0,2,,kr-mohw-nonmedical-health-guide-202209,III.5,2026-08-14 04:04:59.997176+00:00
80cd37ee-9769-478e-a2a4-20d23132d0bd,ee8da273-7f54-437c-a5cd-b829b327fcfa,복약지도,복약 정보 제공,3,0,706262f2-641e-4b47-af2f-68e0c815a692,kr-pharmaceutical-affairs-act-20260621,제24조,2026-08-14 04:04:59.997176+00:00
157b15a6-c55e-4d30-980f-afeb4eee248b,ee8da273-7f54-437c-a5cd-b829b327fcfa,병명 규명,건강 상태 확인,0,0,,kr-mohw-nonmedical-health-guide-202209,II.2,2026-08-14 04:04:59.997176+00:00
2f38874c-5fc3-4d4f-b24a-83ab7c652a50,ee8da273-7f54-437c-a5cd-b829b327fcfa,혈압 판단,혈압 변화 확인,1,0,0ddef715-ce99-4777-8703-f69c7e247018,kr-mohw-nonmedical-health-guide-202209,II,2026-08-14 04:04:59.997176+00:00
4f1b5309-a4ee-44a2-907b-613d875de44b,ee8da273-7f54-437c-a5cd-b829b327fcfa,질병 정보 안내,질병 정보 제공,2,0,e1eaa0be-95a7-4c56-958a-3e3edcb0e581,kr-mohw-nonmedical-health-guide-202209,III.1,2026-08-14 04:04:59.997176+00:00
a82291c1-9ff0-40fa-8a61-0b3545b3a797,ee8da273-7f54-437c-a5cd-b829b327fcfa,합병증 안내,합병증 정보 제공,0,0,,kr-mohw-nonmedical-health-guide-202209,III.4,2026-08-14 04:04:59.997176+00:00
42010887-c22a-4de0-8280-dddfff41ef56,ee8da273-7f54-437c-a5cd-b829b327fcfa,사망위험도,사망 통계지수,0,2,,kr-mohw-nonmedical-health-guide-202209,III.5,2026-08-14 04:04:59.997176+00:00
f0261cb3-83c3-4ea3-9384-4b332de05bc5,ee8da273-7f54-437c-a5cd-b829b327fcfa,조제,대체 표현 없음 — 약사 전속 업무이므로 기능 자체를 제외해야 함,3,0,7b550d1d-41ca-4069-90b8-2b2911d9deaf,kr-pharmaceutical-affairs-act-20260621,제23조,2026-08-14 04:04:59.997176+00:00
6d21ee33-794e-4423-abcf-aba2cd3225c1,ee8da273-7f54-437c-a5cd-b829b327fcfa,심장질환 처방,심장질환 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
790a2b85-0dfe-41c4-b951-9ac74d837067,ee8da273-7f54-437c-a5cd-b829b327fcfa,심장질환 치료,심장질환 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
77d2ac27-3e46-4a38-91ed-51bebaa0615b,ee8da273-7f54-437c-a5cd-b829b327fcfa,고지혈증 치료,고지혈증 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
09dd65b2-fec3-460c-b11d-090f219daa1c,ee8da273-7f54-437c-a5cd-b829b327fcfa,비만 치료,비만 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
36da5493-f407-40c1-babf-70d7df98bf1e,ee8da273-7f54-437c-a5cd-b829b327fcfa,질환의 진단,질병 변화 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-mohw-nonmedical-health-guide-202209,II.1,2026-08-14 04:04:59.997176+00:00
dfcbaa2f-acd5-4cef-bee5-fc29c973a276,ee8da273-7f54-437c-a5cd-b829b327fcfa,진단 건강상태,건강 상태 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-mohw-nonmedical-health-guide-202209,III.4,2026-08-14 04:04:59.997176+00:00
1de03627-c229-4b9b-9f0e-0863395fccdc,ee8da273-7f54-437c-a5cd-b829b327fcfa,체지방 측정,체지방 변화 추이 확인 (수치·알람 기능 없이),1,0,7e02d505-307b-4333-9670-917c95a70d12,kr-mfds-wellness-0091-03-20260212,IV.3,2026-08-14 04:04:59.997176+00:00
ec7f3051-d99b-482e-90b1-b5d3f22f2aa9,ee8da273-7f54-437c-a5cd-b829b327fcfa,스트레스 측정,스트레스 변화 추이 확인 (수치·알람 기능 없이),1,0,abeda1bb-dffb-4b3d-9b84-0d86579771f4,kr-mfds-wellness-0091-03-20260212,IV.3,2026-08-14 04:04:59.997176+00:00
072d9712-805c-424b-97a8-c66572f2df94,ee8da273-7f54-437c-a5cd-b829b327fcfa,고혈압 치료,고혈압 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
0e526f2b-1374-443e-9975-0c4d4585a553,ee8da273-7f54-437c-a5cd-b829b327fcfa,저혈압 처치,저혈압 정보 제공,2,0,757c8299-03a0-4919-88f4-ac991bbe8735,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
48f32998-ddcf-4538-b32d-9701d7ec8bba,ee8da273-7f54-437c-a5cd-b829b327fcfa,비만 처치,비만 정보 제공,2,0,757c8299-03a0-4919-88f4-ac991bbe8735,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
64724e76-8b75-4d59-8254-d6fb3b7078a9,ee8da273-7f54-437c-a5cd-b829b327fcfa,진단 질환,건강 상태 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-mohw-nonmedical-health-guide-202209,II.19,2026-08-14 04:04:59.997176+00:00
8540f32c-3a65-4c39-b661-ce9441a2d7c7,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨 치료,당뇨 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
32d5f784-6c9c-4bb0-ad61-69ae9783a4a7,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨병 치료,당뇨병 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mfds-wellness-0091-03-20260212,IV.2.가,2026-08-14 04:04:59.997176+00:00
b86cd362-2b8f-4e60-ac9a-dde73d294082,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨병 예방,당뇨병 관리 정보 제공,2,0,24204f66-01bd-4fc2-85da-4a010495fb14,kr-mohw-nonmedical-health-guide-202209,III.3,2026-08-14 04:04:59.997176+00:00
7c20daf6-033a-4d60-9c0a-ac7d6a97b081,ee8da273-7f54-437c-a5cd-b829b327fcfa,질병의 치료,질환 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,IV.3,2026-08-14 04:04:59.997176+00:00
5c533814-9792-4211-9d23-cc4f54c2d70a,ee8da273-7f54-437c-a5cd-b829b327fcfa,질환의 치료를 위하여 의료기기 등을 이용하여 환자의 신체에 일정한 조작을 가하는 행위,건강 증진을 위한 기기 사용 안내,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,II.3,2026-08-14 04:04:59.997176+00:00
8adec0c0-c992-47b1-bdd5-ddcff2343e7f,ee8da273-7f54-437c-a5cd-b829b327fcfa,질환명 진단,건강상태 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-mohw-nonmedical-health-guide-202209,II.3,2026-08-14 04:04:59.997176+00:00
85c3f55c-69d1-4d99-ac4a-14596dd100e0,ee8da273-7f54-437c-a5cd-b829b327fcfa,고혈압 예방,혈압 변화 확인,2,0,24204f66-01bd-4fc2-85da-4a010495fb14,kr-mohw-nonmedical-health-guide-202209,III.2,2026-08-14 04:04:59.997176+00:00
067f22b1-01e7-4a20-aa8c-88c5529950bc,ee8da273-7f54-437c-a5cd-b829b327fcfa,비만 처방,비만 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
8643b1e9-54e1-4061-975e-26a160940c37,ee8da273-7f54-437c-a5cd-b829b327fcfa,저혈압 처방,저혈압 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
ae313fca-a2e3-4d9f-8434-ae7e9a827def,ee8da273-7f54-437c-a5cd-b829b327fcfa,고지혈증 처방,고지혈증 안내,3,0,04d43b30-9695-4378-b3cf-c26c7dbdc09c,kr-mfds-wellness-0091-03-20260212,IV.2.나,2026-08-14 04:04:59.997176+00:00
005dce27-0159-4778-905e-a28893f2285b,ee8da273-7f54-437c-a5cd-b829b327fcfa,특정 질환의 치료,특정 질환 관리,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,II.2,2026-08-14 04:04:59.997176+00:00
ecc457ad-ac27-4c0c-a0da-82c3f2e373de,ee8da273-7f54-437c-a5cd-b829b327fcfa,치료 질환,건강 상태 확인,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,II.19,2026-08-14 04:04:59.997176+00:00
8357b142-3482-4840-99df-635fe368b5a9,ee8da273-7f54-437c-a5cd-b829b327fcfa,질환의 치료를 위하여 물리적인 방법을 동원하여 환자에게 일정한 조치를 하는 행위,건강 증진을 위한 물리적 방법 안내,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,II.3,2026-08-14 04:04:59.997176+00:00
67ddbe06-c205-44bb-825f-7e913cca84e1,ee8da273-7f54-437c-a5cd-b829b327fcfa,혈압 진단,혈압 변화 확인,2,0,b0f027d6-2bba-4eb3-a171-420c7e4b7a22,kr-mohw-nonmedical-health-guide-202209,II.4,2026-08-14 04:04:59.997176+00:00
958ae124-938f-4f6b-8c66-bb1ce6a153e5,ee8da273-7f54-437c-a5cd-b829b327fcfa,질환 치료,건강 상태 개선,2,0,0d40b255-fa1b-4dbb-b619-f5c0d7055130,kr-mohw-nonmedical-health-guide-202209,II.1,2026-08-14 04:04:59.997176+00:00
51640155-683b-40b5-9117-54ba3de2022f,ee8da273-7f54-437c-a5cd-b829b327fcfa,당뇨 개선,당뇨 향상 도움,2,0,923d2956-cc31-4d28-921b-d159195ec051,kr-mfds-wellness-0091-03-20260212,IV.1.나,2026-08-14 04:04:59.997176+00:00
